fan,massager,hairdryer,watt
0,1,0,20
0,1,0,21
0,1,0,21
0,1,0,20
0,1,0,21
0,1,0,21
0,1,0,20
0,1,0,21
0,1,0,22
0,1,0,20
0,1,0,22
0,1,0,20
0,1,0,22
0,1,0,21
0,1,0,21
0,1,0,22
0,1,0,20
0,1,0,20
0,1,0,20
0,1,0,20
0,1,0,21
0,1,0,20
0,1,0,20
0,1,0,20
0,1,0,22
0,1,0,22
0,1,0,21
0,1,0,20
0,1,0,20
0,1,0,21
0,1,0,22
0,1,0,21
0,1,0,20
0,1,0,21
0,1,0,20
0,1,0,22
0,1,0,22
0,1,0,20
0,1,0,21
0,1,0,22
0,1,0,22
0,1,0,21
0,1,0,20
0,1,0,21
0,1,0,21
0,1,0,22
0,1,0,20
0,1,0,20
0,1,0,20
0,1,0,21
1,1,1,86
1,1,1,86
1,1,1,87
1,1,1,87
1,1,1,87
1,1,1,87
1,1,1,87
1,1,1,86
1,1,1,85
1,1,1,85
1,1,1,86
1,1,1,86
1,1,1,86
1,1,1,85
1,1,1,86
1,1,1,86
1,1,1,85
1,1,1,85
1,1,1,86
1,1,1,87
1,1,1,86
1,1,1,87
1,1,1,87
1,1,1,85
1,1,1,86
1,1,1,85
1,1,1,86
1,1,1,87
1,1,1,87
1,1,1,87
1,1,1,85
1,1,1,87
1,1,1,86
1,1,1,87
1,1,1,87
1,1,1,85
1,1,1,87
1,1,1,86
1,1,1,86
1,1,1,86
1,1,1,85
1,1,1,87
1,1,1,85
1,1,1,85
1,1,1,85
1,1,1,86
1,1,1,85
1,1,1,85
1,1,1,87
1,1,1,87
1,0,1,65
1,0,1,66
1,0,1,66
1,0,1,66
1,0,1,65
1,0,1,67
1,0,1,66
1,0,1,67
1,0,1,65
1,0,1,65
1,0,1,67
1,0,1,65
1,0,1,66
1,0,1,67
1,0,1,65
1,0,1,66
1,0,1,65
1,0,1,66
1,0,1,65
1,0,1,66
1,0,1,66
1,0,1,67
1,0,1,65
1,0,1,65
1,0,1,65
1,0,1,67
1,0,1,65
1,0,1,65
1,0,1,67
1,0,1,65
1,0,1,65
1,0,1,67
1,0,1,67
1,0,1,66
1,0,1,66
1,0,1,65
1,0,1,65
1,0,1,65
1,0,1,67
1,0,1,67
1,0,1,67
1,0,1,65
1,0,1,67
1,0,1,65
1,0,1,67
1,0,1,65
1,0,1,65
1,0,1,66
1,0,1,65
1,0,1,66
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
